←	leftwards arrow 	u+2190	2190
↑	upwards arrow 	u+2191	2191
→	rightwards arrow 	z notation total function	2192
↓	downwards arrow 	u+2193	2193
↔	left right arrow emoji	z notation relation	2194
↕	up down arrow emoji	u+2195	2195
↖	north west arrow emoji	u+2196	2196
↗	north east arrow emoji	u+2197	2197
↘	south east arrow emoji	u+2198	2198
↙	south west arrow emoji	u+2199	2199
↚	leftwards arrow with stroke 	u+219a	219a
↛	rightwards arrow with stroke 	u+219b	219b
↜	leftwards wave arrow 	u+219c	219c
↝	rightwards wave arrow 	u+219d	219d
↞	leftwards two headed arrow 	fast cursor left	219e
↟	upwards two headed arrow 	fast cursor up	219f
↠	rightwards two headed arrow 	z notation total surjection , fast cursor right	21a0
↡	downwards two headed arrow 	form feed , fast cursor down	21a1
↢	leftwards arrow with tail 	u+21a2	21a2
↣	rightwards arrow with tail 	z notation total injection	21a3
↤	leftwards arrow from bar 	u+21a4	21a4
↥	upwards arrow from bar 	u+21a5	21a5
↦	rightwards arrow from bar 	z notation maplet	21a6
↧	downwards arrow from bar 	depth symbol	21a7
↨	up down arrow with base 	u+21a8	21a8
↩	leftwards arrow with hook emoji	u+21a9	21a9
↪	rightwards arrow with hook emoji	u+21aa	21aa
↫	leftwards arrow with loop 	u+21ab	21ab
↬	rightwards arrow with loop 	u+21ac	21ac
↭	left right wave arrow 	u+21ad	21ad
↮	left right arrow with stroke 	u+21ae	21ae
↯	downwards zigzag arrow 	electrolysis	21af
↰	upwards arrow with tip leftwards 	u+21b0	21b0
↱	upwards arrow with tip rightwards 	u+21b1	21b1
↲	downwards arrow with tip leftwards 	u+21b2	21b2
↳	downwards arrow with tip rightwards 	u+21b3	21b3
↴	rightwards arrow with corner downwards 	line feed	21b4
↵	downwards arrow with corner leftwards 	u+21b5	21b5
↶	anticlockwise top semicircle arrow 	u+21b6	21b6
↷	clockwise top semicircle arrow 	u+21b7	21b7
↸	north west arrow to long bar 	home	21b8
↹	leftwards arrow to bar over rightwards arrow to bar 	tab with shift tab	21b9
↺	anticlockwise open circle arrow 	reset	21ba
↻	clockwise open circle arrow 	u+21bb	21bb
↼	leftwards harpoon with barb upwards 	u+21bc	21bc
↽	leftwards harpoon with barb downwards 	u+21bd	21bd
↾	upwards harpoon with barb rightwards 	u+21be	21be
↿	upwards harpoon with barb leftwards 	u+21bf	21bf
⇀	rightwards harpoon with barb upwards 	u+21c0	21c0
⇁	rightwards harpoon with barb downwards 	u+21c1	21c1
⇂	downwards harpoon with barb rightwards 	u+21c2	21c2
⇃	downwards harpoon with barb leftwards 	u+21c3	21c3
⇄	rightwards arrow over leftwards arrow 	u+21c4	21c4
⇅	upwards arrow leftwards of downwards arrow 	u+21c5	21c5
⇆	leftwards arrow over rightwards arrow 	u+21c6	21c6
⇇	leftwards paired arrows 	u+21c7	21c7
