𝐀	mathematical bold capital a 	u+1d400	1d400
𝐁	mathematical bold capital b 	u+1d401	1d401
𝐂	mathematical bold capital c 	u+1d402	1d402
𝐃	mathematical bold capital d 	u+1d403	1d403
𝐄	mathematical bold capital e 	u+1d404	1d404
𝐅	mathematical bold capital f 	u+1d405	1d405
𝐆	mathematical bold capital g 	u+1d406	1d406
𝐇	mathematical bold capital h 	u+1d407	1d407
𝐈	mathematical bold capital i 	u+1d408	1d408
𝐉	mathematical bold capital j 	u+1d409	1d409
𝐊	mathematical bold capital k 	u+1d40a	1d40a
𝐋	mathematical bold capital l 	u+1d40b	1d40b
𝐌	mathematical bold capital m 	u+1d40c	1d40c
𝐍	mathematical bold capital n 	u+1d40d	1d40d
𝐎	mathematical bold capital o 	u+1d40e	1d40e
𝐏	mathematical bold capital p 	u+1d40f	1d40f
𝐐	mathematical bold capital q 	u+1d410	1d410
𝐑	mathematical bold capital r 	u+1d411	1d411
𝐒	mathematical bold capital s 	u+1d412	1d412
𝐓	mathematical bold capital t 	u+1d413	1d413
𝐔	mathematical bold capital u 	u+1d414	1d414
𝐕	mathematical bold capital v 	u+1d415	1d415
𝐖	mathematical bold capital w 	u+1d416	1d416
𝐗	mathematical bold capital x 	u+1d417	1d417
𝐘	mathematical bold capital y 	u+1d418	1d418
𝐙	mathematical bold capital z 	u+1d419	1d419
𝐚	mathematical bold small a 	u+1d41a	1d41a
𝐛	mathematical bold small b 	u+1d41b	1d41b
𝐜	mathematical bold small c 	u+1d41c	1d41c
𝐝	mathematical bold small d 	u+1d41d	1d41d
𝐞	mathematical bold small e 	u+1d41e	1d41e
𝐟	mathematical bold small f 	u+1d41f	1d41f
𝐠	mathematical bold small g 	u+1d420	1d420
𝐡	mathematical bold small h 	u+1d421	1d421
𝐢	mathematical bold small i 	u+1d422	1d422
𝐣	mathematical bold small j 	u+1d423	1d423
𝐤	mathematical bold small k 	u+1d424	1d424
𝐥	mathematical bold small l 	u+1d425	1d425
𝐦	mathematical bold small m 	u+1d426	1d426
𝐧	mathematical bold small n 	u+1d427	1d427
𝐨	mathematical bold small o 	u+1d428	1d428
𝐩	mathematical bold small p 	u+1d429	1d429
𝐪	mathematical bold small q 	u+1d42a	1d42a
𝐫	mathematical bold small r 	u+1d42b	1d42b
𝐬	mathematical bold small s 	u+1d42c	1d42c
𝐭	mathematical bold small t 	u+1d42d	1d42d
𝐮	mathematical bold small u 	u+1d42e	1d42e
𝐯	mathematical bold small v 	u+1d42f	1d42f
𝐰	mathematical bold small w 	u+1d430	1d430
𝐱	mathematical bold small x 	u+1d431	1d431
𝐲	mathematical bold small y 	u+1d432	1d432
𝐳	mathematical bold small z 	u+1d433	1d433
𝐴	mathematical italic capital a 	u+1d434	1d434
𝐵	mathematical italic capital b 	u+1d435	1d435
𝐶	mathematical italic capital c 	u+1d436	1d436
𝐷	mathematical italic capital d 	u+1d437	1d437
𝐸	mathematical italic capital e 	u+1d438	1d438
𝐹	mathematical italic capital f 	u+1d439	1d439
𝐺	mathematical italic capital g 	u+1d43a	1d43a
𝐻	mathematical italic capital h 	u+1d43b	1d43b
𝐼	mathematical italic capital i 	u+1d43c	1d43c
𝐽	mathematical italic capital j 	u+1d43d	1d43d
𝐾	mathematical italic capital k 	u+1d43e	1d43e
𝐿	mathematical italic capital l 	u+1d43f	1d43f
𝑀	mathematical italic capital m 	u+1d440	1d440
𝑁	mathematical italic capital n 	u+1d441	1d441
𝑂	mathematical italic capital o 	u+1d442	1d442
𝑃	mathematical italic capital p 	u+1d443	1d443
𝑄	mathematical italic capital q 	u+1d444	1d444
𝑅	mathematical italic capital r 	u+1d445	1d445
𝑆	mathematical italic capital s 	u+1d446	1d446
𝑇	mathematical italic capital t 	u+1d447	1d447
𝑈	mathematical italic capital u 	u+1d448	1d448
𝑉	mathematical italic capital v 	u+1d449	1d449
𝑊	mathematical italic capital w 	u+1d44a	1d44a
𝑋	mathematical italic capital x 	u+1d44b	1d44b
𝑌	mathematical italic capital y 	u+1d44c	1d44c
𝑍	mathematical italic capital z 	u+1d44d	1d44d
𝑎	mathematical italic small a 	u+1d44e	1d44e
𝑏	mathematical italic small b 	u+1d44f	1d44f
𝑐	mathematical italic small c 	u+1d450	1d450
𝑑	mathematical italic small d 	u+1d451	1d451
𝑒	mathematical italic small e 	u+1d452	1d452
𝑓	mathematical italic small f 	u+1d453	1d453
𝑔	mathematical italic small g 	u+1d454	1d454
