🤐	zipper-mouth face emoji	lips sealed, sealed lips, zip it	1f910
🤑	money-mouth face emoji	dollar sign eyes, money face, rich	1f911
🤒	face with thermometer emoji	covid-19, coronavirus, ill, sick	1f912
🤓	nerd face emoji	nerdy	1f913
🤔	thinking face emoji	chin thumb, thinker, throwing shade	1f914
🤕	face with head-bandage emoji	bandaged head, clumsy, injured	1f915
🤖	robot face emoji	android, robot	1f916
🤗	hugging face emoji	hug, hugging, hugs	1f917
🤘	sign of the horns emoji	devil fingers, heavy metal, rock on	1f918
🤙	call me hand emoji	phone hand, shaka	1f919
🤚	raised back of hand emoji	backhand	1f91a
🤛	left-facing fist emoji	left fist bump	1f91b
🤜	right-facing fist emoji	u+1f91c	1f91c
🤝	handshake emoji	shaking hands	1f91d
🤞	hand with index and middle fingers crossed emoji	fingers crossed, good luck	1f91e
🤟	i love you hand sign emoji	u+1f91f	1f91f
🤠	face with cowboy hat emoji	cowboy	1f920
🤡	clown face emoji	u+1f921	1f921
🤢	nauseated face emoji	disgust, vomit	1f922
🤣	rolling on the floor laughing emoji	rofl	1f923
🤤	drooling face emoji	drool	1f924
🤥	lying face emoji	liar, long nose, pinocchio	1f925
🤦	face palm emoji	frustration, disbelief, facepalm, hitting head, picard, smh	1f926
🤧	sneezing face emoji	gesundheit, covid-19, coronavirus	1f927
🤨	face with one eyebrow raised emoji	colbert, the rock	1f928
🤩	grinning face with star eyes emoji	excited, star eyes, starry eyed, wow face	1f929
🤪	grinning face with one large and one small eye emoji	crazy eyes, excited, wild	1f92a
🤫	face with finger covering closed lips emoji	hush, quiet, shh	1f92b
🤬	serious face with symbols covering mouth emoji	cursing, cussing, grawlix, swearing	1f92c
🤭	smiling face with smiling eyes and hand covering mouth emoji	u+1f92d	1f92d
🤮	face with open mouth vomiting emoji	spew, throwing up, vomit	1f92e
🤯	shocked face with exploding head emoji	mind blown	1f92f
🤰	pregnant woman emoji	pregnancy	1f930
🤱	breast-feeding emoji	breastfeeding	1f931
🤲	palms up together emoji	dua	1f932
🤳	selfie emoji	phone camera, selfie hand	1f933
🤴	prince emoji	u+1f934	1f934
