⨀	n-ary circled dot operator 	u+2a00	2a00
⨁	n-ary circled plus operator 	u+2a01	2a01
⨂	n-ary circled times operator 	u+2a02	2a02
⨃	n-ary union operator with dot 	u+2a03	2a03
⨄	n-ary union operator with plus 	u+2a04	2a04
⨅	n-ary square intersection operator 	u+2a05	2a05
⨆	n-ary square union operator 	u+2a06	2a06
⨇	two logical and operator 	merge	2a07
⨈	two logical or operator 	u+2a08	2a08
⨉	n-ary times operator 	u+2a09	2a09
⨊	modulo two sum 	u+2a0a	2a0a
⨋	summation with integral 	u+2a0b	2a0b
⨌	quadruple integral operator 	u+2a0c	2a0c
⨍	finite part integral 	u+2a0d	2a0d
⨎	integral with double stroke 	u+2a0e	2a0e
⨏	integral average with slash 	u+2a0f	2a0f
⨐	circulation function 	u+2a10	2a10
⨑	anticlockwise integration 	u+2a11	2a11
⨒	line integration with rectangular path around pole 	u+2a12	2a12
⨓	line integration with semicircular path around pole 	u+2a13	2a13
⨔	line integration not including the pole 	u+2a14	2a14
⨕	integral around a point operator 	u+2a15	2a15
⨖	quaternion integral operator 	u+2a16	2a16
⨗	integral with leftwards arrow with hook 	u+2a17	2a17
⨘	integral with times sign 	u+2a18	2a18
⨙	integral with intersection 	u+2a19	2a19
⨚	integral with union 	u+2a1a	2a1a
⨛	integral with overbar 	upper integral	2a1b
⨜	integral with underbar 	lower integral	2a1c
⨝	join 	large bowtie	2a1d
⨞	large left triangle operator 	u+2a1e	2a1e
⨟	z notation schema composition 	u+2a1f	2a1f
⨠	z notation schema piping 	u+2a20	2a20
⨡	z notation schema projection 	u+2a21	2a21
⨢	plus sign with small circle above 	u+2a22	2a22
⨣	plus sign with circumflex accent above 	u+2a23	2a23
⨤	plus sign with tilde above 	positive difference or sum	2a24
⨥	plus sign with dot below 	u+2a25	2a25
⨦	plus sign with tilde below 	sum or positive difference	2a26
⨧	plus sign with subscript two 	nim-addition	2a27
⨨	plus sign with black triangle 	u+2a28	2a28
⨩	minus sign with comma above 	u+2a29	2a29
⨪	minus sign with dot below 	u+2a2a	2a2a
⨫	minus sign with falling dots 	u+2a2b	2a2b
⨬	minus sign with rising dots 	u+2a2c	2a2c
⨭	plus sign in left half circle 	u+2a2d	2a2d
⨮	plus sign in right half circle 	u+2a2e	2a2e
⨯	vector or cross product 	u+2a2f	2a2f
⨰	multiplication sign with dot above 	u+2a30	2a30
⨱	multiplication sign with underbar 	u+2a31	2a31
⨲	semidirect product with bottom closed 	u+2a32	2a32
⨳	smash product 	u+2a33	2a33
⨴	multiplication sign in left half circle 	u+2a34	2a34
⨵	multiplication sign in right half circle 	u+2a35	2a35
⨶	circled multiplication sign with circumflex accent 	u+2a36	2a36
⨷	multiplication sign in double circle 	u+2a37	2a37
⨸	circled division sign 	u+2a38	2a38
⨹	plus sign in triangle 	u+2a39	2a39
⨺	minus sign in triangle 	u+2a3a	2a3a
⨻	multiplication sign in triangle 	u+2a3b	2a3b
⨼	interior product 	u+2a3c	2a3c
⨽	righthand interior product 	u+2a3d	2a3d
⨾	z notation relational composition 	u+2a3e	2a3e
⨿	amalgamation or coproduct 	u+2a3f	2a3f
⩀	intersection with dot 	u+2a40	2a40
⩁	union with minus sign 	z notation bag subtraction	2a41
⩂	union with overbar 	u+2a42	2a42
⩃	intersection with overbar 	u+2a43	2a43
⩄	intersection with logical and 	u+2a44	2a44
⩅	union with logical or 	u+2a45	2a45
⩆	union above intersection 	u+2a46	2a46
⩇	intersection above union 	u+2a47	2a47
⩈	union above bar above intersection 	u+2a48	2a48
⩉	intersection above bar above union 	u+2a49	2a49
⩊	union beside and joined with union 	u+2a4a	2a4a
⩋	intersection beside and joined with intersection 	u+2a4b	2a4b
⩌	closed union with serifs 	u+2a4c	2a4c
⩍	closed intersection with serifs 	u+2a4d	2a4d
⩎	double square intersection 	u+2a4e	2a4e
⩏	double square union 	u+2a4f	2a4f
⩐	closed union with serifs and smash product 	u+2a50	2a50
⩑	logical and with dot above 	u+2a51	2a51
⩒	logical or with dot above 	u+2a52	2a52
⩓	double logical and 	u+2a53	2a53
⩔	double logical or 	u+2a54	2a54
⩕	two intersecting logical and 	u+2a55	2a55
⩖	two intersecting logical or 	u+2a56	2a56
⩗	sloping large or 	u+2a57	2a57
⩘	sloping large and 	u+2a58	2a58
⩙	logical or overlapping logical and 	u+2a59	2a59
⩚	logical and with middle stem 	u+2a5a	2a5a
⩛	logical or with middle stem 	u+2a5b	2a5b
⩜	logical and with horizontal dash 	u+2a5c	2a5c
⩝	logical or with horizontal dash 	u+2a5d	2a5d
⩞	logical and with double overbar 	u+2a5e	2a5e
⩟	logical and with underbar 	u+2a5f	2a5f
⩠	logical and with double underbar 	u+2a60	2a60
⩡	small vee with underbar 	u+2a61	2a61
⩢	logical or with double overbar 	u+2a62	2a62
⩣	logical or with double underbar 	u+2a63	2a63
⩤	z notation domain antirestriction 	u+2a64	2a64
⩥	z notation range antirestriction 	u+2a65	2a65
⩦	equals sign with dot below 	u+2a66	2a66
⩧	identical with dot above 	u+2a67	2a67
⩨	triple horizontal bar with double vertical stroke 	identical and parallel to	2a68
⩩	triple horizontal bar with triple vertical stroke 	u+2a69	2a69
⩪	tilde operator with dot above 	u+2a6a	2a6a
⩫	tilde operator with rising dots 	u+2a6b	2a6b
⩬	similar minus similar 	u+2a6c	2a6c
⩭	congruent with dot above 	u+2a6d	2a6d
⩮	equals with asterisk 	u+2a6e	2a6e
