⅐	vulgar fraction one seventh 	u+2150	2150
⅑	vulgar fraction one ninth 	u+2151	2151
⅒	vulgar fraction one tenth 	u+2152	2152
⅓	vulgar fraction one third 	u+2153	2153
⅔	vulgar fraction two thirds 	u+2154	2154
⅕	vulgar fraction one fifth 	u+2155	2155
⅖	vulgar fraction two fifths 	u+2156	2156
⅗	vulgar fraction three fifths 	u+2157	2157
⅘	vulgar fraction four fifths 	u+2158	2158
⅙	vulgar fraction one sixth 	u+2159	2159
⅚	vulgar fraction five sixths 	u+215a	215a
⅛	vulgar fraction one eighth 	u+215b	215b
⅜	vulgar fraction three eighths 	u+215c	215c
⅝	vulgar fraction five eighths 	u+215d	215d
⅞	vulgar fraction seven eighths 	u+215e	215e
⅟	fraction numerator one 	u+215f	215f
Ⅰ	roman numeral one 	u+2160	2160
Ⅱ	roman numeral two 	u+2161	2161
Ⅲ	roman numeral three 	u+2162	2162
Ⅳ	roman numeral four 	u+2163	2163
Ⅴ	roman numeral five 	u+2164	2164
Ⅵ	roman numeral six 	u+2165	2165
Ⅶ	roman numeral seven 	u+2166	2166
Ⅷ	roman numeral eight 	u+2167	2167
Ⅸ	roman numeral nine 	u+2168	2168
Ⅹ	roman numeral ten 	u+2169	2169
Ⅺ	roman numeral eleven 	u+216a	216a
Ⅻ	roman numeral twelve 	u+216b	216b
Ⅼ	roman numeral fifty 	u+216c	216c
Ⅽ	roman numeral one hundred 	u+216d	216d
Ⅾ	roman numeral five hundred 	u+216e	216e
Ⅿ	roman numeral one thousand 	u+216f	216f
ⅰ	small roman numeral one 	u+2170	2170
ⅱ	small roman numeral two 	u+2171	2171
ⅲ	small roman numeral three 	u+2172	2172
ⅳ	small roman numeral four 	u+2173	2173
ⅴ	small roman numeral five 	u+2174	2174
ⅵ	small roman numeral six 	u+2175	2175
ⅶ	small roman numeral seven 	u+2176	2176
ⅷ	small roman numeral eight 	u+2177	2177
ⅸ	small roman numeral nine 	u+2178	2178
ⅹ	small roman numeral ten 	u+2179	2179
ⅺ	small roman numeral eleven 	u+217a	217a
ⅻ	small roman numeral twelve 	u+217b	217b
ⅼ	small roman numeral fifty 	u+217c	217c
ⅽ	small roman numeral one hundred 	u+217d	217d
ⅾ	small roman numeral five hundred 	u+217e	217e
ⅿ	small roman numeral one thousand 	u+217f	217f
ↀ	roman numeral one thousand c d 	u+2180	2180
ↁ	roman numeral five thousand 	u+2181	2181
ↂ	roman numeral ten thousand 	u+2182	2182
Ↄ	roman numeral reversed one hundred 	apostrophic c , claudian antisigma	2183
ↄ	latin small letter reversed c 	u+2184	2184
ↅ	roman numeral six late form 	u+2185	2185
ↆ	roman numeral fifty early form 	u+2186	2186
ↇ	roman numeral fifty thousand 	u+2187	2187
ↈ	roman numeral one hundred thousand 	u+2188	2188
↉	vulgar fraction zero thirds 	u+2189	2189
↊	turned digit two 	u+218a	218a
↋	turned digit three 	u+218b	218b
↌	defined in unicode	u+218c	218c
↍	defined in unicode	u+218d	218d
↎	defined in unicode	u+218e	218e
↏	defined in unicode	u+218f	218f
